Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
     1.125         -2.30127844       -2.30127844        2.8511e-13
     1.140         -2.30545673       -2.30545673        2.8999e-13
     1.155         -2.30953669       -2.30953669        2.9443e-13
     1.170         -2.31351478       -2.31351478        2.9932e-13
     1.185         -2.31738755       -2.31738755        3.0420e-13
     1.200         -2.32115160       -2.32115160        3.0864e-13
     1.215         -2.32480360       -2.32480360        3.1308e-13
     1.230         -2.32834027       -2.32834027        3.1708e-13
     1.245         -2.33175842       -2.33175842        3.2108e-13
     1.260         -2.33505489       -2.33505489        3.2507e-13
     1.275         -2.33822662       -2.33822662        3.2907e-13
     1.290         -2.34127062       -2.34127062        3.3307e-13
     1.305         -2.34418394       -2.34418394        3.3662e-13
     1.320         -2.34696375       -2.34696375        3.4017e-13
     1.335         -2.34960726       -2.34960726        3.4373e-13
     1.350         -2.35211177       -2.35211177        3.4683e-13
     1.365         -2.35447465       -2.35447465        3.4994e-13
     1.380         -2.35669336       -2.35669336        3.5261e-13
     1.395         -2.35876544       -2.35876544        3.5527e-13
     1.410         -2.36068849       -2.36068849        3.5794e-13
     1.425         -2.36246023       -2.36246023        3.6016e-13
     1.440         -2.36407842       -2.36407842        3.6238e-13
     1.455         -2.36554095       -2.36554095        3.6415e-13
     1.470         -2.36684575       -2.36684575        3.6549e-13
     1.485         -2.36799088       -2.36799088        3.6682e-13
     1.500         -2.36897446       -2.36897446        3.6815e-13
     1.515         -2.36979471       -2.36979471        3.6904e-13
     1.530         -2.37044993       -2.37044993        3.6948e-13
     1.545         -2.37093853       -2.37093853        3.6993e-13
     1.560         -2.37125898       -2.37125898        3.6993e-13
     1.575         -2.37140987       -2.37140987        3.6948e-13
     1.590         -2.37138987       -2.37138987        3.6904e-13
     1.605         -2.37119775       -2.37119775        3.6815e-13
     1.620         -2.37083236       -2.37083236        3.6726e-13
     1.635         -2.37029266       -2.37029266        3.6593e-13
     1.650         -2.36957769       -2.36957769        3.6415e-13
     1.665         -2.36868661       -2.36868661        3.6193e-13
     1.680         -2.36761863       -2.36761863        3.5927e-13
     1.695         -2.36637311       -2.36637311        3.5616e-13
     1.710         -2.36494946       -2.36494946        3.5261e-13
     1.725         -2.36334721       -2.36334721        3.4905e-13
     1.740         -2.36156599       -2.36156599        3.4506e-13
     1.755         -2.35960551       -2.35960551        3.4017e-13
     1.770         -2.35746559       -2.35746559        3.3529e-13
     1.785         -2.35514613       -2.35514613        3.2996e-13
     1.800         -2.35264715       -2.35264715        3.2419e-13
     1.815         -2.34996875       -2.34996875        3.1841e-13
     1.830         -2.34711113       -2.34711113        3.1175e-13
     1.845         -2.34407458       -2.34407458        3.0465e-13
     1.860         -2.34085949       -2.34085949        2.9754e-13
     1.875         -2.33746636       -2.33746636        2.8955e-13
     1.890         -2.33389577       -2.33389577        2.8111e-13
     1.905         -2.33014840       -2.33014840        2.7267e-13
     1.920         -2.32622501       -2.32622501        2.6334e-13
     1.935         -2.32212647       -2.32212647        2.5402e-13
     1.950         -2.31785376       -2.31785376        2.4380e-13
     1.965         -2.31340791       -2.31340791        2.3315e-13
     1.980         -2.30879008       -2.30879008        2.2204e-13
     1.995         -2.30400150       -2.30400150        2.1050e-13
     2.010         -2.29904351       -2.29904351        1.9806e-13
     2.025         -2.29391752       -2.29391752        1.8563e-13
     2.040         -2.28862505       -2.28862505        1.7275e-13
     2.055         -2.28316770       -2.28316770        1.5943e-13
     2.070         -2.27754715       -2.27754715        1.4566e-13
     2.085         -2.27176518       -2.27176518        1.3101e-13
     2.100         -2.26582366       -2.26582366        1.1591e-13
     2.115         -2.25972453       -2.25972453        1.0036e-13
     2.130         -2.25346983       -2.25346983        8.4377e-14
     2.145         -2.24706167       -2.24706167        6.7946e-14
     2.160         -2.24050225       -2.24050225        5.1070e-14
     2.175         -2.23379386       -2.23379386        3.3751e-14
     2.190         -2.22693885       -2.22693885        1.5543e-14
     2.205         -2.21993967       -2.21993967       -3.1086e-15
     2.220         -2.21279885       -2.21279885       -2.2649e-14
     2.235         -2.20551897       -2.20551897       -4.2188e-14
     2.250         -2.19810270       -2.19810270       -6.2172e-14
     2.265         -2.19055281       -2.19055281       -8.2601e-14
     2.280         -2.18287210       -2.18287210       -1.0347e-13
     2.295         -2.17506346       -2.17506346       -1.2523e-13
     2.310         -2.16712987       -2.16712987       -1.4699e-13
     2.325         -2.15907435       -2.15907435       -1.6964e-13
     2.340         -2.15090001       -2.15090001       -1.9273e-13
     2.355         -2.14261000       -2.14261000       -2.1627e-13
     2.370         -2.13420756       -2.13420756       -2.4025e-13
     2.385         -2.12569598       -2.12569598       -2.6512e-13
     2.400         -2.11707861       -2.11707861       -2.9043e-13
     2.415         -2.10835887       -2.10835887       -3.1619e-13
     2.430         -2.09954023       -2.09954023       -3.4195e-13
     2.445         -2.09062623       -2.09062623       -3.6859e-13
     2.460         -2.08162044       -2.08162044       -3.9568e-13
     2.475         -2.07252650       -2.07252650       -4.2322e-13
     2.490         -2.06334810       -2.06334810       -4.5119e-13
     2.505         -2.05408898       -2.05408898       -4.7917e-13
     2.520         -2.04475293       -2.04475293       -5.0804e-13
     2.535         -2.03534378       -2.03534378       -5.3735e-13
     2.550         -2.02586540       -2.02586540       -5.6710e-13
     2.565         -2.01632173       -2.01632173       -5.9686e-13
     2.580         -2.00671672       -2.00671672       -6.2705e-13
     2.595         -1.99705436       -1.99705436       -6.5792e-13
     2.610         -1.98733870       -1.98733870       -6.8923e-13
     2.625         -1.97757381       -1.97757381       -7.2098e-13
     2.640         -1.96776380       -1.96776380       -7.5318e-13
     2.655         -1.95791280       -1.95791280       -7.8559e-13
     2.670         -1.94802498       -1.94802498       -8.1846e-13
     2.685         -1.93810453       -1.93810453       -8.5154e-13
     2.700         -1.92815568       -1.92815568       -8.8507e-13
     2.715         -1.91818266       -1.91818266       -9.1882e-13
     2.730         -1.90818975       -1.90818975       -9.5302e-13
     2.745         -1.89818122       -1.89818122       -9.8743e-13
     2.760         -1.88816137       -1.88816137       -1.0223e-12
     2.775         -1.87813454       -1.87813454       -1.0574e-12
     2.790         -1.86810504       -1.86810504       -1.0927e-12
     2.805         -1.85807721       -1.85807721       -1.1282e-12
     2.820         -1.84805542       -1.84805542       -1.1640e-12
     2.835         -1.83804402       -1.83804402       -1.1999e-12
     2.850         -1.82804737       -1.82804737       -1.2361e-12
     2.865         -1.81806985       -1.81806985       -1.2725e-12
     2.880         -1.80811582       -1.80811582       -1.3092e-12
     2.895         -1.79818966       -1.79818966       -1.3458e-12
     2.910         -1.78829572       -1.78829572       -1.3827e-12
     2.925         -1.77843838       -1.77843838       -1.4198e-12
     2.940         -1.76862198       -1.76862198       -1.4571e-12
     2.955         -1.75885087       -1.75885087       -1.4941e-12
     2.970         -1.74912939       -1.74912939       -1.5314e-12
     2.985         -1.73946186       -1.73946186       -1.5687e-12
     3.000         -1.72985258       -1.72985258       -1.6063e-12
     3.015         -1.72030586       -1.72030586       -1.6436e-12
     3.030         -1.71082595       -1.71082595       -1.6811e-12
     3.045         -1.70141711       -1.70141711       -1.7186e-12
     3.060         -1.69208358       -1.69208358       -1.7559e-12
     3.075         -1.68282954       -1.68282954       -1.7932e-12
     3.090         -1.67365918       -1.67365918       -1.8303e-12
     3.105         -1.66457666       -1.66457666       -1.8676e-12
     3.120         -1.65558607       -1.65558607       -1.9045e-12
     3.135         -1.64669152       -1.64669152       -1.9413e-12
     3.150         -1.63789704       -1.63789704       -1.9780e-12
     3.165         -1.62920666       -1.62920666       -2.0146e-12
     3.180         -1.62062436       -1.62062436       -2.0510e-12
     3.195         -1.61215406       -1.61215406       -2.0872e-12
     3.210         -1.60379966       -1.60379966       -2.1232e-12
     3.225         -1.59556501       -1.59556501       -2.1589e-12
     3.240         -1.58745393       -1.58745393       -2.1945e-12
     3.255         -1.57947016       -1.57947016       -2.2295e-12
     3.270         -1.57161742       -1.57161742       -2.2644e-12
     3.285         -1.56389936       -1.56389936       -2.2988e-12
     3.300         -1.55631960       -1.55631960       -2.3332e-12
     3.315         -1.54888168       -1.54888168       -2.3670e-12
     3.330         -1.54158910       -1.54158910       -2.4005e-12
     3.345         -1.53444530       -1.53444530       -2.4336e-12
     3.360         -1.52745367       -1.52745367       -2.4662e-12
     3.375         -1.52061752       -1.52061752       -2.4984e-12
     3.390         -1.51394012       -1.51394012       -2.5302e-12
     3.405         -1.50742465       -1.50742465       -2.5615e-12
     3.420         -1.50107425       -1.50107425       -2.5924e-12
     3.435         -1.49489198       -1.49489198       -2.6228e-12
     3.450         -1.48888084       -1.48888084       -2.6523e-12
     3.465         -1.48304376       -1.48304376       -2.6814e-12
     3.480         -1.47738359       -1.47738359       -2.7101e-12
     3.495         -1.47190311       -1.47190311       -2.7380e-12
     3.510         -1.46660505       -1.46660505       -2.7656e-12
     3.525         -1.46149203       -1.46149203       -2.7924e-12
     3.540         -1.45656661       -1.45656661       -2.8186e-12
     3.555         -1.45183129       -1.45183129       -2.8439e-12
     3.570         -1.44728846       -1.44728846       -2.8686e-12
     3.585         -1.44294047       -1.44294047       -2.8928e-12
     3.600         -1.43878954       -1.43878954       -2.9163e-12
     3.615         -1.43483785       -1.43483785       -2.9390e-12
     3.630         -1.43108749       -1.43108749       -2.9610e-12
     3.645         -1.42754044       -1.42754044       -2.9823e-12
     3.660         -1.42419864       -1.42419864       -3.0027e-12
     3.675         -1.42106391       -1.42106391       -3.0225e-12
     3.690         -1.41813800       -1.41813800       -3.0411e-12
     3.705         -1.41542256       -1.41542256       -3.0593e-12
     3.720         -1.41291916       -1.41291916       -3.0767e-12
     3.735         -1.41062929       -1.41062929       -3.0931e-12
     3.750         -1.40855435       -1.40855435       -3.1086e-12
     3.765         -1.40669563       -1.40669563       -3.1233e-12
     3.780         -1.40505436       -1.40505436       -3.1373e-12
     3.795         -1.40363164       -1.40363164       -3.1501e-12
     3.810         -1.40242852       -1.40242852       -3.1621e-12
     3.825         -1.40144593       -1.40144593       -3.1732e-12
     3.840         -1.40068473       -1.40068473       -3.1835e-12
     3.855         -1.40014565       -1.40014565       -3.1928e-12
     3.870         -1.39982938       -1.39982938       -3.2012e-12
     3.885         -1.39973646       -1.39973646       -3.2088e-12
     3.900         -1.39986739       -1.39986739       -3.2152e-12
     3.915         -1.40022253       -1.40022253       -3.2208e-12
     3.930         -1.40080217       -1.40080217       -3.2252e-12
     3.945         -1.40160651       -1.40160651       -3.2290e-12
     3.960         -1.40263563       -1.40263563       -3.2319e-12
     3.975         -1.40388954       -1.40388954       -3.2334e-12
     3.990         -1.40536816       -1.40536816       -3.2341e-12
     4.005         -1.40707128       -1.40707128       -3.2339e-12
     4.020         -1.40899863       -1.40899863       -3.2327e-12
     4.035         -1.41114983       -1.41114983       -3.2305e-12
     4.050         -1.41352440       -1.41352440       -3.2272e-12
     4.065         -1.41612179       -1.41612179       -3.2230e-12
     4.080         -1.41894134       -1.41894134       -3.2179e-12
     4.095         -1.42198229       -1.42198229       -3.2119e-12
     4.110         -1.42524379       -1.42524379       -3.2048e-12
     4.125         -1.42872490       -1.42872490       -3.1966e-12
     4.140         -1.43242460       -1.43242460       -3.1877e-12
     4.155         -1.43634176       -1.43634176       -3.1777e-12
     4.170         -1.44047516       -1.44047516       -3.1668e-12
     4.185         -1.44482349       -1.44482349       -3.1550e-12
     4.200         -1.44938537       -1.44938537       -3.1422e-12
     4.215         -1.45415929       -1.45415929       -3.1282e-12
     4.230         -1.45914368       -1.45914368       -3.1133e-12
     4.245         -1.46433689       -1.46433689       -3.0973e-12
     4.260         -1.46973714       -1.46973714       -3.0804e-12
     4.275         -1.47534261       -1.47534261       -3.0627e-12
     4.290         -1.48115137       -1.48115137       -3.0440e-12
     4.305         -1.48716140       -1.48716140       -3.0245e-12
     4.320         -1.49337061       -1.49337061       -3.0038e-12
     4.335         -1.49977681       -1.49977681       -2.9823e-12
     4.350         -1.50637775       -1.50637775       -2.9599e-12
     4.365         -1.51317109       -1.51317109       -2.9368e-12
     4.380         -1.52015438       -1.52015438       -2.9126e-12
     4.395         -1.52732514       -1.52732514       -2.8875e-12
     4.410         -1.53468078       -1.53468078       -2.8615e-12
     4.425         -1.54221864       -1.54221864       -2.8348e-12
     4.440         -1.54993598       -1.54993598       -2.8073e-12
     4.455         -1.55783000       -1.55783000       -2.7791e-12
     4.470         -1.56589781       -1.56589781       -2.7500e-12
     4.485         -1.57413645       -1.57413645       -2.7200e-12
     4.500         -1.58254290       -1.58254290       -2.6892e-12
     4.515         -1.59111407       -1.59111407       -2.6577e-12
     4.530         -1.59984678       -1.59984678       -2.6252e-12
     4.545         -1.60873781       -1.60873781       -2.5921e-12
     4.560         -1.61778387       -1.61778387       -2.5584e-12
     4.575         -1.62698159       -1.62698159       -2.5238e-12
     4.590         -1.63632755       -1.63632755       -2.4885e-12
     4.605         -1.64581828       -1.64581828       -2.4523e-12
     4.620         -1.65545022       -1.65545022       -2.4156e-12
     4.635         -1.66521979       -1.66521979       -2.3783e-12
     4.650         -1.67512332       -1.67512332       -2.3401e-12
     4.665         -1.68515712       -1.68515712       -2.3015e-12
     4.680         -1.69531741       -1.69531741       -2.2622e-12
     4.695         -1.70560039       -1.70560039       -2.2222e-12
     4.710         -1.71600220       -1.71600220       -2.1818e-12
     4.725         -1.72651892       -1.72651892       -2.1407e-12
     4.740         -1.73714661       -1.73714661       -2.0990e-12
     4.755         -1.74788126       -1.74788126       -2.0568e-12
     4.770         -1.75871884       -1.75871884       -2.0142e-12
     4.785         -1.76965526       -1.76965526       -1.9711e-12
     4.800         -1.78068640       -1.78068640       -1.9273e-12
     4.815         -1.79180812       -1.79180812       -1.8834e-12
     4.830         -1.80301620       -1.80301620       -1.8390e-12
     4.845         -1.81430645       -1.81430645       -1.7941e-12
     4.860         -1.82567458       -1.82567458       -1.7488e-12
     4.875         -1.83711633       -1.83711633       -1.7033e-12
     4.890         -1.84862737       -1.84862737       -1.6573e-12
     4.905         -1.86020337       -1.86020337       -1.6112e-12
     4.920         -1.87183996       -1.87183996       -1.5645e-12
     4.935         -1.88353276       -1.88353276       -1.5177e-12
     4.950         -1.89527736       -1.89527736       -1.4706e-12
     4.965         -1.90706934       -1.90706934       -1.4231e-12
     4.980         -1.91890426       -1.91890426       -1.3753e-12
     4.995         -1.93077766       -1.93077766       -1.3274e-12
     5.010         -1.94268507       -1.94268507       -1.2792e-12
     5.025         -1.95462202       -1.95462202       -1.2308e-12
     5.040         -1.96658401       -1.96658401       -1.1824e-12
     5.055         -1.97856656       -1.97856656       -1.1340e-12
     5.070         -1.99056515       -1.99056515       -1.0854e-12
     5.085         -2.00257530       -2.00257530       -1.0369e-12
     5.100         -2.01459248       -2.01459248       -9.8810e-13
     5.115         -2.02661220       -2.02661220       -9.3925e-13
     5.130         -2.03862996       -2.03862996       -8.9040e-13
     5.145         -2.05064124       -2.05064124       -8.4155e-13
     5.160         -2.06264157       -2.06264157       -7.9314e-13
     5.175         -2.07462645       -2.07462645       -7.4474e-13
     5.190         -2.08659141       -2.08659141       -6.9633e-13
     5.205         -2.09853197       -2.09853197       -6.4793e-13
     5.220         -2.11044370       -2.11044370       -5.9952e-13
     5.235         -2.12232216       -2.12232216       -5.5111e-13
     5.250         -2.13416291       -2.13416291       -5.0315e-13
     5.265         -2.14596156       -2.14596156       -4.5519e-13
     5.280         -2.15771373       -2.15771373       -4.0767e-13
     5.295         -2.16941505       -2.16941505       -3.6016e-13
     5.310         -2.18106119       -2.18106119       -3.1308e-13
     5.325         -2.19264784       -2.19264784       -2.6645e-13
     5.340         -2.20417071       -2.20417071       -2.2027e-13
     5.355         -2.21562554       -2.21562554       -1.7408e-13
     5.370         -2.22700811       -2.22700811       -1.2834e-13
     5.385         -2.23831423       -2.23831423       -8.3045e-14
     5.400         -2.24953972       -2.24953972       -3.7748e-14
     5.415         -2.26068047       -2.26068047        7.1054e-15
     5.430         -2.27173238       -2.27173238        5.1514e-14
     5.445         -2.28269141       -2.28269141        9.5479e-14
     5.460         -2.29355354       -2.29355354        1.3900e-13
     5.475         -2.30431480       -2.30431480        1.8208e-13
     5.490         -2.31497126       -2.31497126        2.2471e-13
     5.505         -2.32551905       -2.32551905        2.6690e-13
     5.520         -2.33595431       -2.33595431        3.0864e-13
     5.535         -2.34627326       -2.34627326        3.4950e-13
     5.550         -2.35647216       -2.35647216        3.8991e-13
     5.565         -2.36654731       -2.36654731        4.3032e-13
     5.580         -2.37649507       -2.37649507        4.6985e-13
     5.595         -2.38631185       -2.38631185        5.0848e-13
     5.610         -2.39599412       -2.39599412        5.4667e-13
     5.625         -2.40553840       -2.40553840        5.8442e-13
     5.640         -2.41494125       -2.41494125        6.2128e-13
     5.655         -2.42419932       -2.42419932        6.5770e-13
     5.670         -2.43330930       -2.43330930        6.9322e-13
     5.685         -2.44226794       -2.44226794        7.2831e-13
     5.700         -2.45107204       -2.45107204        7.6295e-13
     5.715         -2.45971850       -2.45971850        7.9670e-13
     5.730         -2.46820424       -2.46820424        8.3000e-13
     5.745         -2.47652627       -2.47652627        8.6242e-13
     5.760         -2.48468166       -2.48468166        8.9440e-13
     5.775         -2.49266753       -2.49266753        9.2548e-13
     5.790         -2.50048111       -2.50048111        9.5612e-13
     5.805         -2.50811965       -2.50811965        9.8588e-13
     5.820         -2.51558049       -2.51558049        1.0152e-12
     5.835         -2.52286105       -2.52286105        1.0436e-12
     5.850         -2.52995881       -2.52995881        1.0711e-12
     5.865         -2.53687131       -2.53687131        1.0982e-12
     5.880         -2.54359619       -2.54359619        1.1244e-12
     5.895         -2.55013115       -2.55013115        1.1497e-12
     5.910         -2.55647395       -2.55647395        1.1746e-12
     5.925         -2.56262244       -2.56262244        1.1986e-12
     5.940         -2.56857456       -2.56857456        1.2217e-12
     5.955         -2.57432829       -2.57432829        1.2443e-12
     5.970         -2.57988171       -2.57988171        1.2661e-12
     5.985         -2.58523298       -2.58523298        1.2870e-12
     6.000         -2.59038033       -2.59038033        1.3074e-12
     6.015         -2.59532207       -2.59532207        1.3269e-12
     6.030         -2.60005658       -2.60005658        1.3456e-12
     6.045         -2.60458234       -2.60458234        1.3638e-12
     6.060         -2.60889788       -2.60889788        1.3811e-12
     6.075         -2.61300184       -2.61300184        1.3980e-12
     6.090         -2.61689292       -2.61689292        1.4140e-12
     6.105         -2.62056992       -2.62056992        1.4295e-12
     6.120         -2.62403169       -2.62403169        1.4442e-12
     6.135         -2.62727719       -2.62727719        1.4579e-12
     6.150         -2.63030545       -2.63030545        1.4713e-12
     6.165         -2.63311558       -2.63311558        1.4837e-12
     6.180         -2.63570677       -2.63570677        1.4952e-12
     6.195         -2.63807830       -2.63807830        1.5064e-12
     6.210         -2.64022953       -2.64022953        1.5166e-12
     6.225         -2.64215988       -2.64215988        1.5263e-12
     6.240         -2.64386889       -2.64386889        1.5357e-12
     6.255         -2.64535615       -2.64535615        1.5441e-12
     6.270         -2.64662134       -2.64662134        1.5521e-12
     6.285         -2.64766423       -2.64766423        1.5596e-12
     6.300         -2.64848466       -2.64848466        1.5667e-12
     6.315         -2.64908256       -2.64908256        1.5730e-12
     6.330         -2.64945793       -2.64945793        1.5787e-12
     6.345         -2.64961087       -2.64961087        1.5841e-12
     6.360         -2.64954153       -2.64954153        1.5890e-12
     6.375         -2.64925016       -2.64925016        1.5929e-12
     6.390         -2.64873710       -2.64873710        1.5965e-12
     6.405         -2.64800274       -2.64800274        1.5996e-12
     6.420         -2.64704756       -2.64704756        1.6023e-12
     6.435         -2.64587214       -2.64587214        1.6045e-12
     6.450         -2.64447711       -2.64447711        1.6063e-12
     6.465         -2.64286319       -2.64286319        1.6076e-12
     6.480         -2.64103117       -2.64103117        1.6085e-12
     6.495         -2.63898191       -2.63898191        1.6089e-12
     6.510         -2.63671637       -2.63671637        1.6089e-12
     6.525         -2.63423557       -2.63423557        1.6089e-12
     6.540         -2.63154060       -2.63154060        1.6085e-12
     6.555         -2.62863262       -2.62863262        1.6076e-12
     6.570         -2.62551288       -2.62551288        1.6063e-12
     6.585         -2.62218269       -2.62218269        1.6045e-12
     6.600         -2.61864343       -2.61864343        1.6027e-12
     6.615         -2.61489656       -2.61489656        1.6009e-12
     6.630         -2.61094360       -2.61094360        1.5987e-12
     6.645         -2.60678615       -2.60678615        1.5965e-12
     6.660         -2.60242586       -2.60242586        1.5938e-12
     6.675         -2.59786445       -2.59786445        1.5912e-12
     6.690         -2.59310374       -2.59310374        1.5885e-12
     6.705         -2.58814557       -2.58814557        1.5854e-12
     6.720         -2.58299186       -2.58299186        1.5823e-12
     6.735         -2.57764461       -2.57764461        1.5792e-12
     6.750         -2.57210585       -2.57210585        1.5765e-12
     6.765         -2.56637771       -2.56637771        1.5734e-12
     6.780         -2.56046235       -2.56046235        1.5703e-12
     6.795         -2.55436200       -2.55436200        1.5672e-12
     6.810         -2.54807895       -2.54807895        1.5641e-12
     6.825         -2.54161553       -2.54161553        1.5610e-12
     6.840         -2.53497416       -2.53497416        1.5579e-12
     6.855         -2.52815728       -2.52815728        1.5552e-12
     6.870         -2.52116740       -2.52116740        1.5525e-12
     6.885         -2.51400709       -2.51400709        1.5499e-12
     6.900         -2.50667895       -2.50667895        1.5477e-12
     6.915         -2.49918565       -2.49918565        1.5454e-12
     6.930         -2.49152989       -2.49152989        1.5432e-12
     6.945         -2.48371443       -2.48371443        1.5414e-12
     6.960         -2.47574208       -2.47574208        1.5401e-12
     6.975         -2.46761568       -2.46761568        1.5388e-12
     6.990         -2.45933813       -2.45933813        1.5383e-12
     7.005         -2.45091236       -2.45091236        1.5379e-12
     7.020         -2.44234135       -2.44234135        1.5379e-12
     7.035         -2.43362812       -2.43362812        1.5383e-12
     7.050         -2.42477571       -2.42477571        1.5392e-12
     7.065         -2.41578723       -2.41578723        1.5405e-12
     7.080         -2.40666579       -2.40666579        1.5423e-12
     7.095         -2.39741457       -2.39741457        1.5441e-12
     7.110         -2.38803675       -2.38803675        1.5468e-12
     7.125         -2.37853556       -2.37853556        1.5494e-12
     7.140         -2.36891427       -2.36891427        1.5530e-12
     7.155         -2.35917615       -2.35917615        1.5570e-12
     7.170         -2.34932453       -2.34932453        1.5619e-12
     7.185         -2.33936274       -2.33936274        1.5672e-12
     7.200         -2.32929416       -2.32929416        1.5730e-12
     7.215         -2.31912216       -2.31912216        1.5796e-12
     7.230         -2.30885017       -2.30885017        1.5867e-12
     7.245         -2.29848162       -2.29848162        1.5943e-12
     7.260         -2.28801995       -2.28801995        1.6027e-12
     7.275         -2.27746865       -2.27746865        1.6116e-12
     7.290         -2.26683119       -2.26683119        1.6214e-12
     7.305         -2.25611109       -2.25611109        1.6316e-12
     7.320         -2.24531185       -2.24531185        1.6427e-12
     7.335         -2.23443702       -2.23443702        1.6547e-12
     7.350         -2.22349012       -2.22349012        1.6671e-12
     7.365         -2.21247471       -2.21247471        1.6804e-12
     7.380         -2.20139434       -2.20139434        1.6946e-12
     7.395         -2.19025259       -2.19025259        1.7093e-12
     7.410         -2.17905303       -2.17905303        1.7248e-12
     7.425         -2.16779923       -2.16779923        1.7413e-12
     7.440         -2.15649477       -2.15649477        1.7586e-12
     7.455         -2.14514323       -2.14514323        1.7768e-12
     7.470         -2.13374820       -2.13374820        1.7959e-12
     7.485         -2.12231324       -2.12231324        1.8159e-12
     7.500         -2.11084195       -2.11084195        1.8363e-12
     7.515         -2.09933789       -2.09933789        1.8576e-12
     7.530         -2.08780463       -2.08780463        1.8798e-12
     7.545         -2.07624573       -2.07624573        1.9029e-12
     7.560         -2.06466475       -2.06466475        1.9269e-12
     7.575         -2.05306523       -2.05306523        1.9513e-12
     7.590         -2.04145071       -2.04145071        1.9766e-12
